Hhid,loyalty,preferred_store_format,lifestyle,gender
1347061,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1347251,Occasional Shoppers,Very Large Stores,Middle Class,F
1347441,No longer Shopping,Very Large Stores,Very Affluent Customers,F
1347631,Occasional Shoppers,Others,Middle Class,F
1347781,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1348181,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1348561,Occasional Shoppers,Others,Very Affluent Customers,F
1348941,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1349151,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1350091,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1350131,Occasional Shoppers,Very Large Stores,Middle Class,F
1350321,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1350511,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1350851,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1351251,Occasional Shoppers,Large Stores,Middle Class,M
1351591,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1351631,Occasional Shoppers,Small Stores,Very Affluent Customers,F
1351821,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1351971,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1352221,Very Frequent Shoppers,Large Stores,Middle Class,F
1352411,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1352561,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1352751,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1353001,No longer Shopping,Large Stores,Middle Class,X
1353491,No longer Shopping,Mom and Pop Stores,Middle Class,F
1353531,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1355961,Very Frequent Shoppers,Large Stores,Middle Class,F
1356211,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1356931,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1357141,Very Frequent Shoppers,Large Stores,Middle Class,F
1357291,Occasional Shoppers,Others,Middle Class,F
1357331,Very Frequent Shoppers,Large Stores,Middle Class,F
1358071,No longer Shopping,Large Stores,Low Affluent Customers,M
1358111,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1358981,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1359761,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1359801,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1359951,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1360361,Occasional Shoppers,Very Large Stores,Middle Class,F
1360401,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1361481,Occasional Shoppers,Others,Middle Class,F
1361671,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1362111,No longer Shopping,Very Large Stores,Very Affluent Customers,M
1362831,No longer Shopping,Others,Middle Class,F
1362981,Occasional Shoppers,Others,Middle Class,F
1363041,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1363611,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1363761,Occasional Shoppers,Very Large Stores,Middle Class,F
1364201,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1364541,Lapsing Shoppers,Mom and Pop Stores,Middle Class,F
1365131,No longer Shopping,Very Large Stores,Middle Class,M
1365661,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1366441,Very Frequent Shoppers,Large Stores,Middle Class,F
1366591,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1366781,Occasional Shoppers,Large Stores,Very Affluent Customers,M
1367031,Very Frequent Shoppers,Large Stores,Middle Class,F
1367561,Occasional Shoppers,Large Stores,Middle Class,F
1368151,Occasional Shoppers,Large Stores,Middle Class,F
1368491,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1368531,Very Frequent Shoppers,Large Stores,Middle Class,F
1368721,Occasional Shoppers,Large Stores,Middle Class,F
1368871,Very Frequent Shoppers,Others,Middle Class,F
1369121,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1369271,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1369311,Occasional Shoppers,Large Stores,Very Affluent Customers,M
1369501,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1369841,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1370251,Lapsing Shoppers,Small Stores,Middle Class,F
1371371,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1371411,No longer Shopping,Large Stores,Low Affluent Customers,M
1372151,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1372341,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1373081,No longer Shopping,Very Large Stores,Middle Class,F
1373121,Very Frequent Shoppers,Large Stores,Middle Class,F
1373271,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1374051,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1374581,Occasional Shoppers,Very Large Stores,Middle Class,F
1374771,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1375211,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1375361,Occasional Shoppers,Very Large Stores,NA,F
1375551,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1375891,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1376141,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1376291,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1376331,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,M
1376481,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1376671,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,M
1376711,No longer Shopping,Mom and Pop Stores,Low Affluent Customers,F
1376861,Occasional Shoppers,Others,Middle Class,M
1377071,Occasional Shoppers,Small Stores,Very Affluent Customers,F
1377451,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1377641,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1378191,Occasional Shoppers,Large Stores,Middle Class,F
1378421,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1378571,Very Frequent Shoppers,Large Stores,Middle Class,M
1378951,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1379201,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1379881,No longer Shopping,Very Large Stores,NA,M
1379921,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1380291,Very Frequent Shoppers,Large Stores,Middle Class,F
1380331,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1380671,Very Frequent Shoppers,Large Stores,Middle Class,F
1381071,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1381301,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1382191,No longer Shopping,Large Stores,Very Affluent Customers,M
1382381,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1383201,Occasional Shoppers,Large Stores,Middle Class,X
1383351,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1383541,Very Frequent Shoppers,Others,Low Affluent Customers,F
1383921,Occasional Shoppers,Very Large Stores,Middle Class,M
1384091,No longer Shopping,Mom and Pop Stores,Middle Class,M
1384131,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1384281,Very Frequent Shoppers,Large Stores,Middle Class,F
1384321,Occasional Shoppers,Others,Middle Class,M
1384471,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1384511,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1384851,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1385061,Occasional Shoppers,Mom and Pop Stores,NA,F
1385101,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1385631,No longer Shopping,Very Large Stores,Very Affluent Customers,F
1385781,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1386411,Very Frequent Shoppers,Large Stores,Middle Class,F
1386941,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1387151,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1387491,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1387531,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1387681,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1387721,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1387871,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1387911,Occasional Shoppers,Others,Middle Class,F
1388081,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1388121,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1388461,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
1389431,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1390221,Occasional Shoppers,Large Stores,Middle Class,F
1390411,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1392271,Very Frequent Shoppers,Large Stores,Middle Class,F
1392841,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1392991,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1393431,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1393581,No longer Shopping,Large Stores,Low Affluent Customers,F
1393811,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1393961,Occasional Shoppers,Very Large Stores,Middle Class,M
1394021,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1394211,No longer Shopping,Mom and Pop Stores,NA,F
1394401,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1394741,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1395141,Occasional Shoppers,Large Stores,Middle Class,F
1395331,No longer Shopping,Very Large Stores,Middle Class,F
1395481,Occasional Shoppers,Others,Low Affluent Customers,F
1395521,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1395861,Lapsing Shoppers,Very Large Stores,Middle Class,F
1396071,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1396301,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1396791,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1396831,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1396981,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1397231,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1397761,Occasional Shoppers,Large Stores,Middle Class,F
1398011,No longer Shopping,Small Stores,NA,F
1398541,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1398691,No longer Shopping,Others,Very Affluent Customers,F
1399511,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1399661,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1400021,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1400211,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1400361,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1400551,Occasional Shoppers,Others,Middle Class,F
1400741,Very Frequent Shoppers,Large Stores,Middle Class,F
1400931,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1401331,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1401711,No longer Shopping,Large Stores,NA,M
1401861,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1402451,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1403041,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1403231,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1403571,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1403801,Occasional Shoppers,Others,Middle Class,F
1403951,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1404201,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1404881,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1405321,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1405661,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1406971,No longer Shopping,Mom and Pop Stores,Low Affluent Customers,F
1407031,No longer Shopping,Very Large Stores,Middle Class,F
1407601,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1408151,No longer Shopping,Very Large Stores,Low Affluent Customers,M
1408721,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1410441,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1410591,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1411221,Very Frequent Shoppers,Others,Low Affluent Customers,F
1411751,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1413271,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1414431,Occasional Shoppers,Small Stores,Middle Class,F
1414961,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1415171,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1415361,No longer Shopping,Large Stores,Middle Class,F
1415401,No longer Shopping,Large Stores,Middle Class,F
1416291,Very Frequent Shoppers,Large Stores,Middle Class,F
1416521,Occasional Shoppers,Very Large Stores,Middle Class,F
1416671,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1416711,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1417261,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
1417791,Occasional Shoppers,Large Stores,Middle Class,F
1417981,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1418231,Occasional Shoppers,Large Stores,Middle Class,F
1418611,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1418801,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1419201,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1419351,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1419921,Very Frequent Shoppers,Large Stores,Middle Class,F
1420331,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1420481,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1420861,Occasional Shoppers,Others,Middle Class,F
1420901,No longer Shopping,Others,Low Affluent Customers,F
1421301,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1421981,Occasional Shoppers,Mom and Pop Stores,NA,F
1422191,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1422611,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1422761,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1422801,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
1422951,No longer Shopping,Very Large Stores,Low Affluent Customers,M
1423011,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1423161,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1423541,Occasional Shoppers,Small Stores,Middle Class,F
1423731,Occasional Shoppers,Very Large Stores,Middle Class,F
1424281,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1424661,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1424851,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1425061,Very Frequent Shoppers,Large Stores,Middle Class,M
1425441,Occasional Shoppers,Others,Very Affluent Customers,M
1425781,Lapsing Shoppers,Others,Very Affluent Customers,F
1426181,Occasional Shoppers,Large Stores,Middle Class,F
1426371,Occasional Shoppers,Others,Middle Class,F
1426411,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1426561,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1426601,Occasional Shoppers,Large Stores,Middle Class,F
1428121,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1428271,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1428311,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1428501,Occasional Shoppers,Others,Middle Class,F
1429431,No longer Shopping,Large Stores,Low Affluent Customers,F
1429621,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1429771,No longer Shopping,Very Large Stores,Low Affluent Customers,M
1430371,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1430411,Occasional Shoppers,Large Stores,Middle Class,F
1430561,Very Frequent Shoppers,Large Stores,Middle Class,F
1431721,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1431871,Occasional Shoppers,Large Stores,Middle Class,F
1431911,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1432081,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1432271,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,M
1432461,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1432501,No longer Shopping,Others,Middle Class,F
1432651,Occasional Shoppers,Very Large Stores,Middle Class,F
1432991,No longer Shopping,Others,Low Affluent Customers,F
1433241,Very Frequent Shoppers,Large Stores,Middle Class,M
1433811,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1434741,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1435861,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1435901,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1436071,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1436831,Occasional Shoppers,Large Stores,NA,M
1437191,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1437571,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1437611,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1437761,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1437801,No longer Shopping,Large Stores,Low Affluent Customers,F
1438351,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1438731,Occasional Shoppers,Small Stores,Middle Class,F
1439281,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1439321,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1439471,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1440261,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1440981,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1441381,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1441421,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1442161,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1442351,Occasional Shoppers,Others,Middle Class,F
1442541,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1443091,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
1443131,Lapsing Shoppers,Very Large Stores,Very Affluent Customers,F
1443471,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1443701,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1444101,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1444251,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1444781,Occasional Shoppers,Others,Low Affluent Customers,M
1445371,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1445751,Occasional Shoppers,Very Large Stores,Middle Class,M
1446531,Occasional Shoppers,Large Stores,Middle Class,F
1446681,Very Frequent Shoppers,Large Stores,Middle Class,F
1446871,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1447081,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1447271,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1447311,No longer Shopping,Large Stores,Very Affluent Customers,F
1447841,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1448431,Very Frequent Shoppers,Large Stores,Middle Class,F
1448581,Very Frequent Shoppers,Large Stores,Middle Class,M
1448961,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1449361,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
1449741,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1450001,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1450341,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1450531,Lapsing Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1450681,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1451081,Very Frequent Shoppers,Large Stores,Middle Class,M
1451121,No longer Shopping,Large Stores,Very Affluent Customers,F
1451271,Occasional Shoppers,Large Stores,Middle Class,F
1451461,Very Frequent Shoppers,Large Stores,Middle Class,F
1451841,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1452391,Very Frequent Shoppers,Large Stores,Middle Class,F
1452581,Occasional Shoppers,Small Stores,Very Affluent Customers,F
1453021,Occasional Shoppers,Others,NA,M
1453551,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1453891,Occasional Shoppers,Very Large Stores,Middle Class,F
1453931,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1454521,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1454671,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1454711,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1454901,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1456381,Occasional Shoppers,Mom and Pop Stores,NA,F
1456611,Occasional Shoppers,Large Stores,Middle Class,F
1457541,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1457731,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1457881,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1457921,Occasional Shoppers,Large Stores,Middle Class,F
1458321,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1458661,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1458851,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
1459441,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1460231,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1461011,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1461201,No longer Shopping,Large Stores,Middle Class,F
1461881,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1461921,Occasional Shoppers,Very Large Stores,Middle Class,X
1462471,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1462511,No longer Shopping,Large Stores,Very Affluent Customers,M
1462661,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1464181,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1464371,Occasional Shoppers,Others,Low Affluent Customers,F
1464601,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1464751,Occasional Shoppers,Others,Very Affluent Customers,F
1465341,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1465491,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1465531,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1465911,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1466121,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1466271,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
1466651,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1466841,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1467391,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1467431,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1467621,Very Frequent Shoppers,Large Stores,Middle Class,F
1467771,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1467811,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1468171,Occasional Shoppers,Very Large Stores,Middle Class,M
1468211,No longer Shopping,Small Stores,Very Affluent Customers,X
1468361,Occasional Shoppers,Very Large Stores,Middle Class,F
1468401,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1468741,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1469141,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1469671,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1469711,Occasional Shoppers,Others,Low Affluent Customers,F
1469901,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1470081,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1470501,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1470991,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1471241,No longer Shopping,Mom and Pop Stores,NA,F
1471431,No longer Shopping,Others,Middle Class,F
1471811,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
1471961,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1472211,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1472741,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1472931,No longer Shopping,Large Stores,Low Affluent Customers,F
1473141,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1473291,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1473481,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1473861,Very Frequent Shoppers,Large Stores,Middle Class,F
1473901,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1474261,Very Frequent Shoppers,Large Stores,Middle Class,F
1474301,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1474641,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1474791,Very Frequent Shoppers,Large Stores,Middle Class,F
1474831,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1475041,Occasional Shoppers,Large Stores,Middle Class,F
1475381,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1475421,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
1475761,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1476201,Very Frequent Shoppers,Large Stores,Middle Class,F
1476541,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1476691,No longer Shopping,Others,Very Affluent Customers,F
1476731,Occasional Shoppers,Large Stores,Middle Class,F
1476881,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1476921,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1477091,Lapsing Shoppers,Very Large Stores,Middle Class,F
1477131,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1477281,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1477471,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1477511,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1478101,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1478251,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1478781,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1478821,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1479031,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1479371,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1479411,Occasional Shoppers,Large Stores,Middle Class,F
1479601,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1479751,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1479941,Occasional Shoppers,Large Stores,Middle Class,M
1480881,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1481091,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1481471,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1481661,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1481851,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1482251,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,M
1482591,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1482631,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1482781,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1482971,Occasional Shoppers,Very Large Stores,Middle Class,F
1483031,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1483601,Occasional Shoppers,Large Stores,Very Affluent Customers,M
1483751,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1483941,Occasional Shoppers,Very Large Stores,Middle Class,F
1484151,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1484341,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1484491,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1484681,Very Frequent Shoppers,Large Stores,Middle Class,F
1484871,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1485081,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1485311,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1485461,Occasional Shoppers,Others,Middle Class,F
1485501,Very Frequent Shoppers,Large Stores,Middle Class,M
1486241,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1486621,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1487401,Lapsing Shoppers,NA,NA,NA
